Location,Down Date,Product,Description,Mechanic Notes,Attatchment feauture,Status,Part Comment,Product #,Reporter,Category,Last Edited,Last Edited by,Mechanic,1 st attempt date,Edinger Part,Warner Part,Waterfront Part,Yorba Part
Waterfront,10/6/2020,Electric Bike,Broken Mode Buttons,Need to find local seller to buy and get corporates input on it,Maintenance%20Board%20f707a518e7264cea97a5acf15603dbb0/00CFE9B7-634A-4403-868B-DA62E6F1359E.jpeg,Done,,,Rob,,12/30/2020,Robert Mounce,,,,,,
Waterfront,10/6/2020,Infinity Bike,Needs new Spokes,"Replaced 5 infinity rims (total up): 6/9 are up. 3 infinity bikes. Solution: Get four wheels from Edinger. 2 front 2 rear (Stuck front brake line,flat inner tube, needs spokes replaced on all 4 wheels)",,Done,,,Rob,,12/30/2020,Robert Mounce,,,,,,
Waterfront,10/6/2020,Infinity Bike,Needs a kickstand,,,Done,,,Rob,,12/30/2020,Robert Mounce,,,,,,
Waterfront,10/6/2020,Infinity Bike,Rear Shifting nut,Call max to know how to install,,"Done, Received",,,,,1/16/2021,Robert Mounce,,,,,,
Edinger,10/6/2020,Tandem,Needs Bottom Bracket bolt,,,Done,,,,,12/30/2020,Robert Mounce,,,,,,
Edinger,10/6/2020,Cruiser,Handle Bar / Bent back wheel,,,Done,,,,,12/30/2020,Robert Mounce,,,,,,
Edinger,10/6/2020,Single Surrey,Unaligned frame needs to be dropped,"Remove both front wheels and steering lever ,top silver post frames,",,Done,,,,,12/30/2020,Robert Mounce,,,,,,
Edinger,10/6/2020,Single Surrey,Needs spokes to be tightened Rear Left,,,Done,,,,,12/30/2020,Robert Mounce,,,,,,
Edinger,10/6/2020,Swan Boat,Small Leaks in #3,,,Done,,,,,12/30/2020,Robert Mounce,,,,,,
Edinger,10/6/2020,Quad Sport,Chain Skipping (Coaster Brake Adj.),,,Done,,,,,12/30/2020,Robert Mounce,,,,,,
Edinger,10/6/2020,Cruiser,Seat screw isn't staying on seat,,,Done,,,,,12/30/2020,Robert Mounce,,,,,,
Yorba,10/6/2020,Quad Sport,Needs axle key,,,Done,,,,,12/30/2020,Robert Mounce,,,,,,
Yorba,10/6/2020,Double Surrey,Chain fell off,,,Done,,,,,12/30/2020,Robert Mounce,,,,,,
Yorba,10/6/2020,Double Surrey,Brake keeps locking,,,Done,,,,,12/30/2020,Robert Mounce,,,,,,
Yorba,10/6/2020,Quad Sport,Broken rear rim and flat,,,Done,,,,,12/30/2020,Robert Mounce,,,,,,
Yorba,10/6/2020,Quad Sport,Chain,,,Done,,,,,12/30/2020,Robert Mounce,,,,,,
Yorba,10/6/2020,Chopper,Seat fell back all the way,,Maintenance%20Board%20f707a518e7264cea97a5acf15603dbb0/665C9B3A-8CB4-44B5-ADD1-E2EF25BA3351.png,Done,,,,,12/30/2020,Robert Mounce,,,,,,
Yorba,10/6/2020,Double Surrey,Petal,,,Done,,,,,12/30/2020,Robert Mounce,,,,,,
Yorba,10/6/2020,Quad Sport,Broken Rear Rim,,,Done,,,,,12/30/2020,Robert Mounce,,,,,,
Warner,10/6/2020,Single Surrey,Hard to move,,,Done,,,,,12/30/2020,Robert Mounce,,,,,,
Warner,10/6/2020,Double Surrey,Squeaky,,,Done,,,,,12/30/2020,Robert Mounce,,,,,,
Edinger,10/7/2020,Single Surrey,Lime green frame cracking,,Maintenance%20Board%20f707a518e7264cea97a5acf15603dbb0/FD0A5F40-D8EF-49DA-975C-8338DE344D58.jpeg,Done,,,Rob,,12/30/2020,Robert Mounce,,,,,,
Waterfront,10/8/2020,Double Surrey,Chain fell off rear driver side,,,Done,,,Jonathon,,12/30/2020,Robert Mounce,,,,,,
Waterfront,10/9/2020,Chopper,Needs front axle,,,Done,,,Rob,,12/30/2020,Robert Mounce,,,,,,
Edinger,10/15/2020,Deuce Coupe,Needs a new headset,Needs headset bearings,,Done,,,Robert,,1/14/2021,Robert Mounce,,,,,,
Warner,10/19/2020,Double Surrey,Passenger Sprocket needs to be changed,Passenger,,Done,,,,,12/30/2020,Robert Mounce,,,,,,
Warner,10/19/2020,Double Surrey,Wheel is rubbing with frame,Max straightened the frame out with jack just need to get it up with putting the frame on etc.,Maintenance%20Board%20f707a518e7264cea97a5acf15603dbb0/image%2021.jpg,"Done, Planned",,,,,2/12/2021,Robert Mounce,,,,,,
Yorba,10/19/2020,Swan Boat,Drained the boat but need to patch holes #1,Still need to find holes on both pontoons and swan head,Maintenance%20Board%20f707a518e7264cea97a5acf15603dbb0/image%207.jpg,Done,,,,,12/30/2020,Robert Mounce,,,,,,
Waterfront,10/22/2020,Cruiser,tire creates holes in innertube,,,Done,,,Rob,,12/30/2020,Robert Mounce,,,,,,
Waterfront,10/22/2020,Cruiser,Chain fell off,,,Done,,,Robert,,12/30/2020,Robert Mounce,,,,,,
Waterfront,10/22/2020,Cruiser,Broken basket,,,Done,,,,,12/30/2020,Robert Mounce,,,,,,
Waterfront,10/24/2020,Cruiser,Chain fell off,,,Done,,,Norma,,12/30/2020,Robert Mounce,,,,,,
Waterfront,10/26/2020,Electric Bike,Ebike Battery holder,Need special tool(Did we get it)?,"Maintenance%20Board%20f707a518e7264cea97a5acf15603dbb0/451AF1F1-7A61-462E-B41F-838145B36859.jpeg, Maintenance%20Board%20f707a518e7264cea97a5acf15603dbb0/74906095-B52A-44A8-ADB3-0AFC25E479DE.jpeg, Maintenance%20Board%20f707a518e7264cea97a5acf15603dbb0/image%2024.jpg",Received,,,,Down,7/8/2021,Robert Mounce,Robert Mounce,,,,,
Waterfront,10/28/2020,Quad Sport,Quad Sport Rear axle,,,Done,,,,,12/30/2020,Robert Mounce,,,,,,
Waterfront,10/28/2020,Kids Bike,Rear cable brake cable replace,Universal Cable installed onto the rear wheel should send a pic to max to see if I need any other stuff for the bike,,Done,,,,Down,2/8/2021,Robert Mounce,,,,,,
Waterfront,10/31/2020,Cruiser,Kickstand,I have a kickstand there,,Done,,,Robert,,12/30/2020,Robert Mounce,,,,,,
Waterfront,11/5/2020,Electric Bike,Shifting cable is torn by chain,Needed new housing just needs to be adjusted,,Done,,,Robert,,12/30/2020,Robert Mounce,,,,,,
Edinger,11/12/2020,Swan Boat,Leak on left side. Boat #5,Got everything I need at edinger,Maintenance%20Board%20f707a518e7264cea97a5acf15603dbb0/CBCFEBC5-EB0B-43C9-8ECB-233E99CAE6A6.jpeg,Done,,,Nathaniel Huitt,,12/30/2020,Robert Mounce,,,,,,
Yorba,11/12/2020,Swan Boat,Chipped canapé holder,"I ordered a couple to get yorba up but still need them to put them on, but be useless if I dont have any straps.",Maintenance%20Board%20f707a518e7264cea97a5acf15603dbb0/image%208.jpg,"Done, Ordered",,,Robert,Down,2/19/2021,Robert Mounce,,,,,,
Waterfront,11/13/2020,Electric Bike,Chain fell off,Need Special Tool,"Maintenance%20Board%20f707a518e7264cea97a5acf15603dbb0/image%2025.jpg, Maintenance%20Board%20f707a518e7264cea97a5acf15603dbb0/image%2026.jpg, Maintenance%20Board%20f707a518e7264cea97a5acf15603dbb0/image%2027.jpg",Back Order,https://www.notion.so/9-gear-derailer-c0442808e13147db96f7ede9d3dd788d,,,Down,7/21/2021,Robert Mounce,Robert Mounce,"July 22, 2021",,,1,
Waterfront,11/15/2020,Infinity Bike,customer crashed and the wheel squeaks,,,Done,,,Robert Mounce,,12/30/2020,Robert Mounce,,,,,,
Waterfront,11/18/2020,Cruiser,Broken chain and loose seat,,,Done,,,Norma,,12/30/2020,Robert Mounce,,,,,,
Waterfront,11/18/2020,Cruiser,Male cruiser loose seat #1,,,Done,,,Norma,,12/30/2020,Robert Mounce,,,,,,
Waterfront,11/18/2020,Cruiser,Male cruiser loose seat #2,order bulk,,Done,,,Norma,Down,1/2/2021,Robert Mounce,,,,,,
Waterfront,11/18/2020,Cruiser,Male cruiser: flat rear tire,,,Done,,,Norma,,12/30/2020,Robert Mounce,,,,,,
Waterfront,11/18/2020,Electric Bike,"(4550) does not power on, then it does, then it doesn’t, then does, then doesn’t",,Maintenance%20Board%20f707a518e7264cea97a5acf15603dbb0/A55C289D-4CE9-4344-AFF6-95E202B81CA9.jpeg,Done,,,Norma,Down,1/24/2021,Robert Mounce,,,,,,
Yorba,11/23/2020,Single Surrey,Needs brake adj./ 17 brake screw nut,Almost done,"Maintenance%20Board%20f707a518e7264cea97a5acf15603dbb0/image%209.jpg, Maintenance%20Board%20f707a518e7264cea97a5acf15603dbb0/image%2010.jpg",Done,,,,Down,12/31/2020,Robert Mounce,,,,,,
Warner,11/23/2020,Double Surrey,Right Driver broken frame,Got replacement at waterfront,Maintenance%20Board%20f707a518e7264cea97a5acf15603dbb0/image%2022.jpg,Done,,,Rob,,2/8/2021,Robert Mounce,,,,,,
Yorba,11/26/2020,Double Surrey,Missing right wheel spokes,,Maintenance%20Board%20f707a518e7264cea97a5acf15603dbb0/image%2011.jpg,Done,,,Robert,,12/30/2020,Robert Mounce,,,,,,
Yorba,11/26/2020,Double Surrey,Broken pedal,,,Done,,,Joel,,12/30/2020,Robert Mounce,,,,,,
Waterfront,12/3/2020,Cruiser,Cruiser Chain,,,Done,,,,,12/30/2020,Robert Mounce,,,,,,
Waterfront,12/3/2020,Single Surrey,The passenger back wheel is squeaking really loud.,brake to tight,,Done,,,Ally,Down,6/20/2021,Robert Mounce,,,,,,
Yorba,12/3/2020,Chopper,Steering is tough to turn,"Chopper to nut is to tight, so loosen it. Also drill a new hole on the fork for it to sit lower",,Done,,,,Down,1/25/2021,Robert Mounce,,,,,,
Yorba,12/3/2020,Quad Sport,Needs tire/ innertube,,,Done,,,,,12/30/2020,Robert Mounce,,,,,,
Edinger,12/5/2020,Chopper,Right Tire squeaking loudley,,,Done,,,Nathaniel Huitt,,1/14/2021,Robert Mounce,,,,,,
Yorba,12/6/2020,Single Surrey,Driver side chain not working (red single),,Maintenance%20Board%20f707a518e7264cea97a5acf15603dbb0/image%2012.jpg,Done,,,Joel,,12/30/2020,Robert Mounce,,,,,,
Yorba,12/9/2020,Quad Sport,won't pedal,Needs axle nut,,Done,https://www.notion.so/Axle-Nut-Shimano-dd48bc68e4e34bc79854d52df469d1c1,,Ariana,Down,12/31/2020,Robert Mounce,,,,,,
Edinger,12/11/2020,Double Surrey,Needs steering nut 17,,,Done,,,Robert,,12/30/2020,Robert Mounce,,,,,,
Edinger,12/12/2020,Chopper,Loose chain,,,Done,,,Norma,,12/30/2020,Robert Mounce,,,,,,
Waterfront,12/12/2020,Electric Bike,Screen display disconnected,try different screen,,Done,,,Vincent,Down,1/15/2021,Robert Mounce,,,,,,
Waterfront,12/12/2020,Infinity Bike,Front rotor (rust/bent) I think,Front wheel axle rod is stripped,,Done,,,Vincent,Down,6/20/2021,Robert Mounce,,,,,,
Waterfront,12/12/2020,Infinity Bike,Tension cable came out,,,Done,,,Vincent,,12/30/2020,Robert Mounce,,,,,,
Edinger,12/14/2020,Double Surrey,Flat tire,,,Done,,,Nathan,,12/30/2020,Robert Mounce,,,,,,
Edinger,12/14/2020,Double Surrey,Vendor rubbing front passenger side,,,Done,,,Robert,,12/30/2020,Robert Mounce,,,,,,
Edinger,12/14/2020,Chopper,Chain came undone,,,Done,,,Rob,,12/30/2020,Robert Mounce,,,,,,
Edinger,12/19/2020,Quad Sport,Flat tire. Front right,,,Done,,,Nathaniel Huitt,,12/30/2020,Robert Mounce,,,,,,
Waterfront,12/21/2020,Single Surrey,Break gets stuck and become extremely hard to push back up,clean 17 loc tight the nut,,Done,,,Norma,Down,6/20/2021,Robert Mounce,,,,,,
Waterfront,12/21/2020,Cruiser,Flat rear tire/ already tried pumping it up and it slowly starts to deflate again,,,Done,,,Norma,,12/30/2020,Robert Mounce,,,,,,
Edinger,12/22/2020,Double Surrey,Brake line snapped,,,Done,,,Nathaniel Huitt,,12/30/2020,Robert Mounce,,,,,,
Waterfront,12/23/2020,Cruiser,Back tire keeps deflating even after pumping,,,Done,,,Ally,,12/30/2020,Robert Mounce,,,,,,
Edinger,12/24/2020,Deuce Coupe,Steering bar not aligned,,,Done,,,Nathaniel Huitt,,12/30/2020,Robert Mounce,,,,,,
Waterfront,12/25/2020,Cruiser,It’s very difficult to peddle possibly something wrong with the chain. The person crashed it.,adj wheel rim,,Done,,,Ally,Down,6/20/2021,Robert Mounce,,,,,,
Waterfront,12/25/2020,Chopper,"Flat tire, keeps deflating.",,,Done,,,Ally,,12/30/2020,Robert Mounce,,,,,,
Edinger,12/30/2020,Double Surrey,Bald Tires,,,Done,,3,Robert,Down,6/27/2021,Robert Mounce,Robert Mounce,,,,,
Yorba,12/31/2020,Double Surrey,Loose seat/ front basket,,,Done,,,Robert,Down,6/27/2021,Robert Mounce,Robert Mounce,,,,,
Yorba,12/31/2020,Single Surrey,Driver side difficult to pedal,,,Done,,,,Down,12/31/2020,Robert Mounce,,,,,,
Yorba,12/31/2020,Swan Boat,Tipping on left side,,,Done,,4,Robert,Down,1/13/2021,Robert Mounce,,,,,,
Waterfront,1/3/2021,Deuce Coupe,Flat front tire,,,Done,,#,Vincent,Down,1/3/2021,Jonathan Soliz,,,,,,
Waterfront,1/5/2021,Single Surrey,Brake adjustment,,,Done,,6,Robert,Down,6/20/2021,Robert Mounce,,,,,,
Edinger,1/5/2021,Single Surrey,Broken silver frame,I have the part at waterfront need to pick it up,,"Done, Received",,Na,Robert,Down,2/3/2021,Robert Mounce,,,,,,
Waterfront,1/5/2021,Deuce Coupe,Needs new headset,Needs a new model head set (Threadless),,"Done, Received",,Na,Robert,Down,2/2/2021,Robert Mounce,,,,,,
Waterfront,1/6/2021,Single Surrey,Front flat tire,,,Done,,:),Norma,Down,1/11/2021,Robert Mounce,,,,,,
Yorba,1/7/2021,Double Surrey,Back passenger side metal scrapping😰,,,Done,,8,Evelyn,Down,6/27/2021,Robert Mounce,Robert Mounce,,,,,
Waterfront,1/8/2021,Single Surrey,Brake handle is stuck,Max said having the nut above but still okay to rent,,Done,,Idk tbh,Ally,Down,1/24/2021,Robert Mounce,,,,,,
Waterfront,1/8/2021,Cruiser,Back tire flat,,,Done,,Idk again,Ally,Down,1/12/2021,Jonathan Soliz,,,,,,
Waterfront,1/9/2021,Cruiser,Coaster brake slipping,I have a spare rim but silver and not black,,"Done, Next Week",,,Jonathan,Down,6/20/2021,Robert Mounce,,,,,,
Waterfront,1/9/2021,Cruiser,Male cruiser chain snapped,,,Done,,,Jonathan,Down,1/15/2021,Robert Mounce,,,,,,
Edinger,1/9/2021,Double Surrey,Chain completely fell off,,,Done,,Idk,Norma,Down,1/14/2021,Robert Mounce,,,,,,
Edinger,1/9/2021,Single Surrey,Flat front tire,,,Done,,Green,Norma,Down,1/14/2021,Robert Mounce,,,,,,
Yorba,1/10/2021,Double Surrey,Loud Screeching while pedaling,,,Done,,8,Arua,Down,1/13/2021,Robert Mounce,,,,,,
Edinger,1/12/2021,Double Surrey,Rear brakes are engaging,,,Done,,Green,Norma,Down,6/27/2021,Robert Mounce,Robert Mounce,,,,,
Edinger,1/12/2021,Double Surrey,Loud screech rear bike,,,Done,https://www.notion.so/Surrey-Rear-wheel-bearing-bcdc9fd9bedd42889a4a4cd26ba06c94,4,Norma,Down,1/14/2021,Robert Mounce,,,,,,
Waterfront,1/13/2021,Cruiser,"Front tire loose bolt, can’t tighten",Front wheel rim bad. The axle is stripped.,,Done,,Female Crusiers,Norma,Down,2/2/2021,Jonathan Soliz,,,,,,
Waterfront,1/13/2021,Cruiser,Bolt keeps tightening rear tire,,,Done,,Male cruiser,Norma,Down,1/16/2021,Robert Mounce,,,,,,
Yorba,1/14/2021,Double Surrey,Needs Brake Nuts,"I have a bag of them, so should be able to get that bike up and running",,Done,,,Robert,Down,1/18/2021,Robert Mounce,,,,,,
Edinger,1/14/2021,Cruiser,Cruiser seat,Needs a new cruiser seat because the plastic broke off from the screw.,,Done,,,Robert,Down,2/1/2021,Robert Mounce,,,,,,
Edinger,1/14/2021,Swan Boat,Tipping right side,Water low will see if i can still pull it out. Tried to bring it up 1/16 but was way to heavy to lift by myself. So will need to have someone with me to help pick it up. But I believe its the number 7 swan.,,"Done, Planned",,7,Robert,Down,2/17/2021,Robert Mounce,,,,,,
Edinger,1/14/2021,Swan Boat,Broken strap,,,"Done, Next Week, Received",,46,Rpbert,Down,2/8/2021,Robert Mounce,,,,,,
Edinger,1/14/2021,Swan Boat,Tipping,,,Done,,3,Robert,Down,1/16/2021,Robert Mounce,,,,,,
Edinger,1/14/2021,Swan Boat,Broken straps,,,"Done, Next Week, Received",,50,Robert,Down,2/8/2021,Robert Mounce,,,,,,
Edinger,1/16/2021,Swan Boat,Right Pontoon Leaking,Water may be to low to install,,"Done, Next Week",,2,Nathan,Down,2/8/2021,Robert Mounce,,,,,,
Yorba,1/16/2021,Single Surrey,Broken pedal,,,Done,,1,Joel,Down,1/18/2021,Robert Mounce,,,,,,
Yorba,1/17/2021,Double Surrey,Popped tire,,,Done,,0,Evelyn,Down,1/18/2021,Robert Mounce,,,,,,
Warner,1/17/2021,Cruiser,Popped tire (front),,,Done,,Tape on cruiser (stating issue),Coco,Down,2/4/2021,Robert Mounce,,,,,,
Warner,1/17/2021,Quad Sport,Missing bolt front axel,Needs to connect silver front plate to steering axle,Maintenance%20Board%20f707a518e7264cea97a5acf15603dbb0/image%2023.jpg,Done,,Tape stating the issue,Coco,Down,2/8/2021,Robert Mounce,,,,,,
Waterfront,1/18/2021,Double Surrey,Busted passenger bearing,Needs a new bearing,,Done,https://www.notion.so/Surrey-Rear-wheel-bearing-bcdc9fd9bedd42889a4a4cd26ba06c94,Blue; 11,Norma,Down,2/11/2021,Robert Mounce,,,,,,
Yorba,1/18/2021,Swan Boat,Canapé snapped off,Need to epoxy screws back on. But taking off all small,"Maintenance%20Board%20f707a518e7264cea97a5acf15603dbb0/image%2013.jpg, Maintenance%20Board%20f707a518e7264cea97a5acf15603dbb0/image%2014.jpg, Maintenance%20Board%20f707a518e7264cea97a5acf15603dbb0/image%2015.jpg","Done, Ordered",,5,Robert,Down,2/19/2021,Robert Mounce,,,,,,
Waterfront,1/18/2021,Cruiser,Seat keeps getting loose,Getting a screw or bolt to keep them tight,,"Done, Planned",,N/a,Norma,Down,2/8/2021,Robert Mounce,,,,,,
Waterfront,1/18/2021,Chopper,New small chain sprocket/ Axle,,,Done,"https://www.notion.so/Small-chain-Sprocket-cb9d4e66b60b4f71bfc58d61be8d8026, https://www.notion.so/Specialty-Rear-Axle-b3eb00ca705c47e99d1a610d2f0d41aa, https://www.notion.so/Specialty-Rear-Bearings-a806dc7efb0c43a2af7ae8171bc7c536",,Ally,Down,2/2/2021,Robert Mounce,,,,,,4
Waterfront,1/18/2021,Cruiser,Loose seat,Getting a screw or bolt to keep seat straight,,Done,,Male,Norma,Down,2/8/2021,Robert Mounce,,,,,,
Yorba,1/20/2021,Chopper,Needs new bearing,I have a headset for the other chopper but will use the bearings on that to install on the chopper that needs new bearings,"Maintenance%20Board%20f707a518e7264cea97a5acf15603dbb0/image%2016.jpg, Maintenance%20Board%20f707a518e7264cea97a5acf15603dbb0/image%2017.jpg",Done,,0,Robert,Down,1/25/2021,Robert Mounce,,,,,,
Waterfront,1/24/2021,Cruiser,Cruiser top nuts,Got a lot of the cruisers at waterfront done,,"Done, Ordered",https://www.notion.so/Cruiser-black-nuts-22e423841ca74b59a3aa075df52d144c,,,Down,6/20/2021,Robert Mounce,,,,,,
Yorba,1/24/2021,Double Surrey,Surrey Brake Adjustment,,,Done,,,,Down,6/27/2021,Robert Mounce,Robert Mounce,,,,,
Waterfront,1/24/2021,,Cruiser Logo Plates,,,Done,,,,Down,6/20/2021,Robert Mounce,,,,,,
Waterfront,1/24/2021,,E bike shifting cable adj.,,,Done,,,,Down,6/20/2021,Robert Mounce,,,,,,
Warner,1/24/2021,Double Surrey,Surrey Brake Adjustment,,,Done,,,,Down,6/27/2021,Robert Mounce,Jonathan Soliz,,,,,
Waterfront,1/26/2021,Double Surrey,Squeaky drivers side back wheel,,,Done,,,Ally,Down,6/20/2021,Robert Mounce,,,,,,
Waterfront,1/26/2021,Double Surrey,Squeaky back passenger wheel,,,Done,,10,Ally,Down,6/20/2021,Robert Mounce,,,,,,
Waterfront,1/26/2021,Cruiser,Back tire rubbing,Ally might've worked on it,,Done,,N/a,Ally,Down,2/12/2021,Alexandra Reyes Gomez,,,,,,
Edinger,1/30/2021,Single Surrey,Needs brake adjustment,,,"Done, Planned",,2,Norma,Down,6/27/2021,Robert Mounce,Robert Mounce,,,,,
Edinger,1/30/2021,Quad Sport,Bald tire,,,"Done, Planned",,1,Norma,Down,6/27/2021,Robert Mounce,Robert Mounce,,,,,
Edinger,1/30/2021,Cruiser,Back tire rubbing on frame,,,Done,,1,Norma,,2/11/2021,Robert Mounce,,,,,,
Edinger,1/31/2021,Deuce Coupe,Steering not aligned,,,Done,,1,Nathan,,2/4/2021,Robert Mounce,,,,,,
Edinger,1/31/2021,Double Surrey,Front left wheel bent,,,Done,,9,Nathan,Down,6/27/2021,Robert Mounce,Robert Mounce,,,,,
Edinger,1/31/2021,Double Surrey,Back left wheel bent,,,Done,,4,Nathan,Down,2/4/2021,Robert Mounce,,,,,,
Warner,1/31/2021,Deuce Coupe,Missing brake bolt,..Not to sure,,"Done, Planned",,13,Coco,Down,4/5/2021,Robert Mounce,,,,,,
Warner,1/31/2021,Cruiser,Chain loose,,,Done,,4,Coco,Down,2/4/2021,Robert Mounce,,,,,,
Edinger,2/6/2021,Single Surrey,Flat front passenger,,,Done,,7,Norma,Down,2/11/2021,Robert Mounce,,,,,,
Edinger,2/6/2021,Cruiser,Rear tire hitting frame,,,Done,,7,Norma,Down,2/11/2021,Robert Mounce,,,,,,
Edinger,2/8/2021,Single Surrey,Loud grinding noise,Check if the plate is straight or pins,,Done,,5,Nathan,,4/17/2021,Robert Mounce,,,,,,
Warner,2/13/2021,Double Surrey,Frame damage/ front left crank,,,Done,,N/a,Nathan,Down,4/5/2021,Robert Mounce,,,,,,
Waterfront,2/13/2021,Infinity Bike,Gear cable for infinity bike,,,Done,,,,Down,3/18/2021,Jonathan Soliz,,,,,,
Waterfront,2/13/2021,Infinity Bike,Gear shifting cable snapped,,,Done,,,,Down,2/26/2021,Robert Mounce,,,,,,
Edinger,2/14/2021,Double Surrey,"Frame damage to front fender , passenger front fender disconnected",I didn't see it but will look again,,"Corporate, Done",,,Jonathan,Down,6/27/2021,Robert Mounce,Robert Mounce,,,,,
Waterfront,2/14/2021,Double Surrey,Needs brake adjustment,,,Done,,Blue #10,Ally,Down,2/19/2021,Robert Mounce,,,,,,
Waterfront,2/14/2021,Cruiser,Back tire coming off,,,Done,,N/a,Ally,Down,2/26/2021,Robert Mounce,,,,,,
Waterfront,2/14/2021,Single Surrey,Bald passenger tire,,,Done,,2,Robert,Down,6/20/2021,Robert Mounce,,,,,,
Waterfront,2/14/2021,Cruiser,Hub skipping ( new rim),,,"Done, Ordered",https://www.notion.so/Cruiser-rear-rim-3c4cafbd47df465d8b5d57b5c94e6790,Na,Robert,Down,2/26/2021,Robert Mounce,,,,,,
Edinger,2/15/2021,Double Surrey,Passenger brake line snapped,,,Done,,6,Rob,Down,2/17/2021,Robert Mounce,,,,,,
Yorba,2/19/2021,Swan Boat,Boat is leaning towards one side,,,"Done, Planned",,6,Ariana,Down,3/22/2021,Robert Mounce,,,,,,
