Park,Month,Year,Visitors/ Month,Visitors / day,Month (num),Mon/ Year
Mile Square Park,January,2019,"37,398",1206,1,1/ 2019
Yorba Linda Regional Park,January,2019,"38,890",1255,1,1/ 2019
Mile Square Park,Febraury,2019,"46,204",1490,2,2/ 2019
Yorba Linda Regional Park,Febraury,2019,"26,309",849,2,2/ 2019
Mile Square Park,March,2019,"58,555",1889,3,3/ 2019
Yorba Linda Regional Park,March,2019,"48,868",1576,3,3/ 2019
Mile Square Park,April,2019,"77,000",2484,4,4/ 2019
Yorba Linda Regional Park,April,2019,"59,677",1925,4,4/ 2019
Mile Square Park,May,2019,"68,391",2206,5,5/ 2019
Yorba Linda Regional Park,May,2019,"56,787",1832,5,5/ 2019
Mile Square Park,June,2019,"87,240",2814,6,6/ 2019
Yorba Linda Regional Park,June,2019,"71,049",2292,6,6/ 2019
Mile Square Park,July,2019,"84,509",2726,7,7/ 2019
Yorba Linda Regional Park,July,2019,"68,441",2208,7,7/ 2019
Mile Square Park,August,2019,"77,819",2510,8,8/ 2019
Yorba Linda Regional Park,August,2019,"70,699",2281,8,8/ 2019
Mile Square Park,September,2019,"87,165",2812,9,9/ 2019
Yorba Linda Regional Park,September,2019,"67,470",2176,9,9/ 2019
Mile Square Park,October,2019,"73,167",2360,10,10/ 2019
Yorba Linda Regional Park,October,2019,"59,878",1932,10,10/ 2019
Mile Square Park,November,2019,"56,305",1816,11,11/ 2019
Yorba Linda Regional Park,November,2019,"53,525",1727,11,11/ 2019
Mile Square Park,December,2019,"39,431",1272,12,12/ 2019
Yorba Linda Regional Park,December,2019,"18,428",594,12,12/ 2019
Mile Square Park,January,2020,"56,901",1836,1,1/ 2020
Yorba Linda Regional Park,January,2020,"28,694",926,1,1/ 2020
Mile Square Park,Febraury,2020,"44,060",1421,2,2/ 2020
Yorba Linda Regional Park,Febraury,2020,"24,423",788,2,2/ 2020
Mile Square Park,March,2020,"26,784",864,3,3/ 2020
Yorba Linda Regional Park,March,2020,"14,831",478,3,3/ 2020
Mile Square Park,April,2020,"6,150",198,4,4/ 2020
Yorba Linda Regional Park,April,2020,"5,676",183,4,4/ 2020
Mile Square Park,May,2020,"19,861",641,5,5/ 2020
Yorba Linda Regional Park,May,2020,"22,187",716,5,5/ 2020
Mile Square Park,June,2020,"41,708",1345,6,6/ 2020
Yorba Linda Regional Park,June,2020,"42,759",1379,6,6/ 2020
Mile Square Park,July,2020,"53,099",1713,7,7/ 2020
Yorba Linda Regional Park,July,2020,"44,217",1426,7,7/ 2020
Mile Square Park,August,2020,"82,677",2667,8,8/ 2020
Yorba Linda Regional Park,August,2020,"49,194",1587,8,8/ 2020
Mile Square Park,September,2020,"62,873",2028,9,9/ 2020
Yorba Linda Regional Park,September,2020,"42,503",1371,9,9/ 2020
Mile Square Park,October,2020,"68,501",2210,10,10/ 2020
Yorba Linda Regional Park,October,2020,"51,028",1646,10,10/ 2020
Mile Square Park,November,2020,"42,040",1356,11,11/ 2020
Yorba Linda Regional Park,November,2020,"51,933",1675,11,11/ 2020
Mile Square Park,December,2020,"43,831",1414,12,12/ 2020
Yorba Linda Regional Park,December,2020,"48,544",1566,12,12/ 2020
Mile Square Park,January,2021,"42,805",1381,1,1/ 2021
Yorba Linda Regional Park,January,2021,"53,323",1720,1,1/ 2021
Mile Square Park,Febraury,2021,"47,783",1541,2,2/ 2021
Yorba Linda Regional Park,Febraury,2021,"52,505",1694,2,2/ 2021
Mile Square Park,March,2021,"58,766",1896,3,3/ 2021
Yorba Linda Regional Park,March,2021,"55,906",1803,3,3/ 2021
Mile Square Park,April,2021,"74,833",2414,4,4/ 2021
Yorba Linda Regional Park,April,2021,"62,256",2008,4,4/ 2021
Mile Square Park,May,2021,"84,036",2711,5,5/ 2021
Yorba Linda Regional Park,May,2021,"64,736",2088,5,5/ 2021
Mile Square Park,June,2021,"84,699",2732,6,6/ 2021
Yorba Linda Regional Park,June,2021,"62,306",2010,6,6/ 2021
Mile Square Park,July,2021,"95,981",3096,7,7/ 2021
Yorba Linda Regional Park,July,2021,"42,521",1372,7,7/ 2021
Mile Square Park,August,2021,"80,327",2591,8,8/ 2021
Yorba Linda Regional Park,August,2021,"63,055",2034,8,8/ 2021
Mile Square Park,September,2021,"83,831",2704,9,9/ 2021
Yorba Linda Regional Park,September,2021,"59,534",1920,9,9/ 2021
Mile Square Park,October,2021,"68,363",2205,10,10/ 2021
Yorba Linda Regional Park,October,2021,"59,369",1915,10,10/ 2021
Mile Square Park,November,2021,"55,448",1789,11,11/ 2021
Yorba Linda Regional Park,November,2021,"36,373",1173,11,11/ 2021
Mile Square Park,December,2021,"37,580",1212,12,12/ 2021
Yorba Linda Regional Park,December,2021,"41,874",1351,12,12/ 2021